Season,Lg,Tm,,,,,
1962-63,NBA,2nd,Wilt Chamberlain C,Tom Heinsohn F,Bailey Howell F,Hal Greer G,Bob Cousy G
1961-62,NBA,1st,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G
1961-62,NBA,2nd,Bill Russell C,Jack Twyman F,Tom Heinsohn F,Bob Cousy G,Richie Guerin G
1960-61,NBA,1st,Wilt Chamberlain C,Bob Pettit F,Elgin Baylor F,Bob Cousy G,Oscar Robertson G
1960-61,NBA,2nd,Bill Russell C,Dolph Schayes F,Tom Heinsohn F,Gene Shue G,Larry Costello G
1959-60,NBA,1st,Wilt Chamberlain C,Bob Pettit F,Elgin Baylor F,Bob Cousy G,Gene Shue G
1959-60,NBA,2nd,Bill Russell C,Dolph Schayes F,Jack Twyman F,Bill Sharman G,Richie Guerin G
1958-59,NBA,1st,Bill Russell C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Bill Sharman G
1958-59,NBA,2nd,Dolph Schayes C,Cliff Hagan F,Paul Arizin F,Slater Martin G,Richie Guerin G
1957-58,NBA,1st,Bob Pettit C,George Yardley F,Dolph Schayes F,Bill Sharman G,Bob Cousy G
1957-58,NBA,2nd,Bill Russell C,Cliff Hagan F,Maurice Stokes F,Tom Gola G,Slater Martin G
1956-57,NBA,1st,Bob Pettit C,Dolph Schayes F,Paul Arizin F,Bob Cousy G,Bill Sharman G
1956-57,NBA,2nd,Neil Johnston C,Maurice Stokes F,George Yardley F,Slater Martin G,Dick Garmaker G
1955-56,NBA,1st,Neil Johnston C,Bob Pettit F,Paul Arizin F,Bob Cousy G,Bill Sharman G
1955-56,NBA,2nd,Clyde Lovellette C,Dolph Schayes F,Maurice Stokes F,Slater Martin G,Jack George G
1954-55,NBA,1st,Dolph Schayes N,Neil Johnston N,Larry Foust N,Bob Pettit N,Bob Cousy N
1954-55,NBA,2nd,Slater Martin N,Bill Sharman N,Vern Mikkelsen N,Paul Seymour N,Harry Gallatin N
1953-54,NBA,1st,Neil Johnston N,Harry Gallatin N,George Mikan N,Dolph Schayes N,Bob Cousy N
1953-54,NBA,2nd,Jim Pollard N,Carl Braun N,Ed Macauley N,Paul Seymour N,Bobby Wanzer N
1952-53,NBA,1st,Dolph Schayes N,Bob Cousy N,George Mikan N,Neil Johnston N,Ed Macauley N
1952-53,NBA,2nd,Bobby Wanzer N,Bob Davies N,Vern Mikkelsen N,Andy Phillip N,Bill Sharman N
1951-52,NBA,1st,George Mikan N,Ed Macauley N,Bob Cousy N,Paul Arizin N,Dolph Schayes N Bob Davies N (T)
1951-52,NBA,2nd,Vern Mikkelsen N,Larry Foust N,Bobby Wanzer N,Jim Pollard N,Andy Phillip N
1950-51,NBA,1st,Alex Groza N,Ralph Beard N,Bob Davies N,George Mikan N,Ed Macauley N
1950-51,NBA,2nd,Vern Mikkelsen N,Frankie Brian N,Joe Fulks N,Dick McGuire N,Dolph Schayes N
1949-50,NBA,1st,Bob Davies N,Alex Groza N,George Mikan N,Max Zaslofsky N,Jim Pollard N
1949-50,NBA,2nd,Ralph Beard N,Dolph Schayes N,Fred Schaus N,Al Cervi N,Frankie Brian N
